Liquidateur,Nb liquidation
0x5fc96c182bb7e0413c08e8e03e9d7efc6cf0b099,405
0xb2cc0d719b71fb91082e050967b644a5e55b33a0,139
0xa22dc341c8dd53ab1dff6e66228e779832a449bf,74
0x05fc68f4b7714389a17128653f82d50bee98e542,6
0xe5451d121040e6176476077955efc44ea5c01d48,5
0xc788fa2cdf965ac3478c3a26162a9d49bc4f1e45,5
0x46d0fb00d66d66e1a2fec6aeb670d53951c361c4,3
0x2a5a9aaeb65685e629e603a337b6d65cf271b169,3
0x083cfa7fd187be983ce5d519fe7ae78357779998,3
0xf0633940d64515379bbe743515fc14c13834d393,2
0xc6a82e72156a11a2e1634633af5e4517b451f0d9,2
0x309ccbc93c8211c7dabfffb2fa96aaa78f9c7910,2
0x192cc33005abed10e1a6be7017eafe67e316a497,2
0xfb1cfc4ca506302cb8d1fc4c9694c0e1fc4d6d38,1
0xd58b7f2722371aa92c929272094c3a65482c0429,1
0xad77649686e3888c028e744f2f73aa2337587b03,1
0x977d8a5d31d895646f2a40d19978a6186a1ceb10,1
0x8c70aa71c16d0155e4da75a7f8cf446d271296a4,1
0x7da9a33d15413f499299687cc9d81de84684e28e,1
0x5b6082cb0beca6111e6dfc92b039df00019aac6f,1
0x5430bf4d175bf007ba7b986b1475fbf0e3a532c0,1
0x27312f9a890a6752fcb1a2dff80116b1ace0fbe7,1
0x14644807943d355f5f69e3e7936318989c320075,1
Grand Total,661
