Utilisateur liquidé,Date de la liquidation,SUM of Quantité liquidée
0x0ecf7674afac3d704444b8a55654e7e8d8df4a2f,2026-01-30,128.67
,2026-01-28,439.85
,2026-01-27,241.22
,2026-01-26,4.95
,2026-01-25,54.98
,2026-01-24,173.95
,2026-01-22,82.49
,2026-01-21,199.61
,2026-01-20,252.90
,2026-01-10,"1,009.75"
,2026-01-09,72.58
,2025-12-23,467.41
,2025-12-22,50.29
,2025-12-20,101.01
,2025-12-19,100.09
,2025-12-15,229.99
,2025-12-10,319.33
,2025-12-05,301.20
,2025-11-19,"1,045.48"
,2025-11-16,754.00
,2025-11-10,421.83
,2025-11-08,"3,148.96"
,2025-11-03,352.95
,2025-10-28,510.77
,2025-10-24,494.93
,2025-10-21,291.48
,2025-08-30,"38,493.82"
,2025-08-27,"1,924.09"
0x0ecf7674afac3d704444b8a55654e7e8d8df4a2f Total,,"51,668.58"
0x309ccbc93c8211c7dabfffb2fa96aaa78f9c7910,2026-02-08,0.00
,2026-01-30,38.49
,2026-01-29,12.21
,2026-01-28,11.00
,2026-01-27,"2,508.53"
,2026-01-26,198.11
,2026-01-25,521.25
,2026-01-24,879.71
,2026-01-23,"42,239.40"
,2026-01-22,439.93
,2026-01-21,23.09
,2026-01-20,646.02
,2026-01-19,"2,153.24"
,2026-01-18,935.47
,2026-01-17,435.05
0x309ccbc93c8211c7dabfffb2fa96aaa78f9c7910 Total,,"51,041.51"
0x5f7b30c41f68c12018e0ca64bf8a57e3bef454f6,2025-10-26,"30,246.81"
0x5f7b30c41f68c12018e0ca64bf8a57e3bef454f6 Total,,"30,246.81"
0x6d03cbc95172c140cbcd06d16f6c8c29e322c14e,2026-02-11,2.73
,2026-02-02,5.43
,2026-02-01,43.98
,2026-01-24,10.78
,2026-01-23,21.54
,2026-01-20,128.91
,2026-01-19,15.40
,2026-01-17,186.77
,2026-01-15,2.97
,2025-12-28,310.33
,2025-12-23,"3,056.21"
,2025-12-16,0.45
,2025-12-14,53.23
,2025-12-05,53.58
,2025-12-04,74.00
,2025-12-01,214.45
,2025-11-28,439.94
,2025-11-27,219.97
,2025-11-19,"2,201.84"
,2025-11-14,55.21
,2025-11-10,0.09
,2025-11-09,0.00
,2025-11-08,0.11
,2025-11-07,0.89
,2025-11-02,2.07
,2025-10-30,"13,758.51"
,2025-10-29,20.77
,2025-10-28,30.79
,2025-10-26,1.10
,2025-10-22,219.99
,2025-10-15,306.94
,2025-10-14,110.01
,2025-10-13,55.00
,2025-10-12,55.00
,2025-10-11,111.08
,2025-10-10,49.48
,2025-10-07,131.95
,2025-10-05,134.13
,2025-10-02,117.78
,2025-10-01,49.49
,2025-09-30,53.89
0x6d03cbc95172c140cbcd06d16f6c8c29e322c14e Total,,"22,306.80"
0x4f7765c9febc51cd63f68f573920c0b7bf803151,2025-10-02,49.60
,2025-10-01,33.98
,2025-09-29,6.60
,2025-09-28,343.54
,2025-09-19,"6,686.28"
,2025-09-18,"1,071.94"
,2025-09-17,622.59
,2025-09-16,"5,381.24"
,2025-09-15,15.44
0x4f7765c9febc51cd63f68f573920c0b7bf803151 Total,,"14,211.20"
0xe47263b1e75f798a7d1b46f41ada6f4379647e46,2026-02-01,435.42
,2025-11-22,109.99
,2025-07-01,"11,998.68"
0xe47263b1e75f798a7d1b46f41ada6f4379647e46 Total,,"12,544.08"
0xaa7eccb54d0e82523bee084835aa7e241d8be164,2026-01-21,56.96
,2026-01-17,109.98
,2026-01-04,87.90
,2026-01-03,731.21
,2025-12-31,115.47
,2025-12-30,170.45
,2025-12-28,112.18
,2025-12-26,"1,176.99"
,2025-12-23,"1,917.65"
,2025-12-16,109.99
,2025-12-14,214.48
,2025-12-07,0.82
,2025-11-30,72.83
,2025-11-29,"2,474.53"
,2025-11-28,219.96
,2025-11-26,109.98
,2025-11-19,"3,791.30"
,2025-11-14,55.00
0xaa7eccb54d0e82523bee084835aa7e241d8be164 Total,,"11,527.66"
0x89774212594bd2436eeda801904f74cc2b5e098e,2026-01-30,12.10
,2026-01-28,450.85
,2026-01-26,0.27
,2026-01-24,2.71
,2026-01-20,323.58
,2026-01-17,165.47
,2026-01-16,98.98
,2026-01-10,205.65
,2025-12-25,157.52
,2025-12-21,120.99
,2025-12-12,241.96
,2025-12-11,11.22
,2025-11-29,346.04
,2025-11-27,90.71
,2025-11-14,"7,853.97"
0x89774212594bd2436eeda801904f74cc2b5e098e Total,,"10,082.02"
0x32c89a5f2147347eda137472ccc3e439d45c83e6,2025-11-26,219.95
,2025-11-20,55.11
,2025-11-15,54.99
,2025-11-14,55.00
,2025-11-10,6.41
,2025-10-24,"2,749.60"
,2025-10-23,20.90
,2025-10-21,93.49
,2025-10-09,"3,794.00"
,2025-10-03,120.97
0x32c89a5f2147347eda137472ccc3e439d45c83e6 Total,,"7,170.43"
0xd7260631eb8751c74ab3d407274dff030d140b10,2026-01-29,55.70
,2026-01-28,453.32
,2026-01-26,8.25
,2026-01-23,"3,615.99"
,2026-01-22,5.50
,2026-01-21,60.49
,2026-01-20,"2,021.44"
0xd7260631eb8751c74ab3d407274dff030d140b10 Total,,"6,220.68"
0x2c78b7f84fee10ef06d8709fd14dc87c7db92c23,2026-01-18,"5,549.79"
0x2c78b7f84fee10ef06d8709fd14dc87c7db92c23 Total,,"5,549.79"
0xcf1d4fcb4a2e7617973c75b414b7498f742a88f3,2026-02-08,23.84
,2026-02-07,30.32
,2026-02-06,31.66
,2025-12-05,"3,549.65"
,2025-10-27,"1,561.84"
0xcf1d4fcb4a2e7617973c75b414b7498f742a88f3 Total,,"5,197.31"
0x8011c91c138b9cd085f9d82b5790621dbaacfcb3,2026-02-03,4.35
,2025-09-26,5.94
,2025-09-16,14.17
,2025-09-07,28.26
,2025-09-04,56.48
,2025-08-25,112.59
,2025-08-22,224.99
,2025-08-03,447.70
,2025-07-08,886.75
,2025-05-01,"1,671.49"
0x8011c91c138b9cd085f9d82b5790621dbaacfcb3 Total,,"3,452.72"
0xd325b1dfb97285692b4efbe3fb98f19688cfc3e7,2026-01-29,857.70
,2026-01-25,"2,478.64"
0xd325b1dfb97285692b4efbe3fb98f19688cfc3e7 Total,,"3,336.34"
0x6e2bc0e64e9d9133646b770cd16c2ddb352cc92b,2025-11-17,165.38
,2025-09-02,144.28
,2025-08-03,275.40
,2025-07-20,547.77
,2025-07-09,822.21
,2025-06-14,"1,225.26"
0x6e2bc0e64e9d9133646b770cd16c2ddb352cc92b Total,,"3,180.30"
0xaf58b6760539df0b97596640e64f34ab599c6335,2026-02-02,"2,408.58"
,2026-01-24,143.86
,2026-01-04,112.19
,2025-11-24,255.76
,2025-11-09,101.26
,2025-10-27,109.99
0xaf58b6760539df0b97596640e64f34ab599c6335 Total,,"3,131.64"
0x7d1bec06421bb69fcfbd4a9863c0aa08e084cf74,2025-11-26,"1,702.22"
,2025-11-21,10.13
,2025-11-14,55.00
,2025-11-12,11.91
,2025-11-11,0.79
,2025-11-09,11.00
,2025-11-08,2.93
,2025-10-30,"1,150.54"
0x7d1bec06421bb69fcfbd4a9863c0aa08e084cf74 Total,,"2,944.52"
0x3c6c0ad57cccde8b4be955d57a63c42ceec529f9,2025-12-29,"2,365.70"
,2025-12-02,203.55
0x3c6c0ad57cccde8b4be955d57a63c42ceec529f9 Total,,"2,569.25"
0x1b4c9373eb6d9e06f22152cfb778ec1d419ff6ad,2026-01-18,"2,549.05"
0x1b4c9373eb6d9e06f22152cfb778ec1d419ff6ad Total,,"2,549.05"
0xd66e507883cdf2e29adf8a3c25cf8120c783de78,2026-01-12,108.68
,2026-01-11,25.18
,2025-11-20,118.33
,2025-11-06,44.00
,2025-11-05,0.26
,2025-10-23,43.13
,2025-10-21,5.50
,2025-10-18,11.00
,2025-08-27,"2,156.37"
0xd66e507883cdf2e29adf8a3c25cf8120c783de78 Total,,"2,512.44"
0x5d79341fe59b96648255161cf044edd6b6926627,2026-01-20,"1,114.10"
,2026-01-11,100.23
,2025-11-30,549.92
,2025-11-04,376.18
0x5d79341fe59b96648255161cf044edd6b6926627 Total,,"2,140.44"
0x50a782f704f952fd12e41f2df1f3fde70efef51e,2026-01-23,962.46
,2026-01-22,5.50
,2026-01-02,112.17
,2025-12-04,188.31
,2025-11-11,141.14
,2025-10-28,351.95
,2025-10-27,10.89
,2025-10-19,66.00
,2025-10-12,66.00
,2025-10-06,54.99
,2025-10-01,41.80
,2025-09-30,13.20
0x50a782f704f952fd12e41f2df1f3fde70efef51e Total,,"2,014.41"
0xcac03944ad8b30288a42f67d2229dd0a42e0b12f,2024-08-23,17.93
,2024-08-10,35.80
,2024-08-06,67.18
,2024-07-20,136.36
,2024-07-10,271.68
,2024-06-28,496.48
,2024-06-27,951.04
0xcac03944ad8b30288a42f67d2229dd0a42e0b12f Total,,"1,976.47"
0x1de6800d6c2d2430edee2b52c49dcf89dfb84374,2025-10-20,671.02
,2025-07-14,"1,166.30"
0x1de6800d6c2d2430edee2b52c49dcf89dfb84374 Total,,"1,837.32"
0x369237ec452ca56a402d4dde5f808ce8612abc87,2026-01-12,35.28
,2025-12-16,228.44
,2025-12-15,0.00
,2025-11-16,16.42
,2025-08-27,456.95
,2025-08-23,912.65
0x369237ec452ca56a402d4dde5f808ce8612abc87 Total,,"1,649.74"
0xc2eba74e4afebe88149b3f1ce9ac97beb2c7d1a6,2026-02-05,10.80
,2026-02-03,21.56
,2026-02-01,43.05
,2026-01-31,86.00
,2026-01-17,5.50
,2026-01-15,142.87
,2026-01-12,69.46
,2026-01-10,112.91
,2026-01-09,82.11
,2026-01-08,9.90
,2026-01-06,133.97
,2026-01-04,218.22
,2025-12-31,207.65
,2025-12-30,484.31
0xc2eba74e4afebe88149b3f1ce9ac97beb2c7d1a6 Total,,"1,628.31"
0x3bd047b6bd542e57af986a923a3c5c469ba5e4b9,2026-01-31,"1,579.84"
0x3bd047b6bd542e57af986a923a3c5c469ba5e4b9 Total,,"1,579.84"
0x98db3255ebb8760ef8450330ad6fe91f30573fa0,2025-01-16,10.26
,2025-01-15,20.52
,2025-01-14,41.02
,2025-01-10,"1,230.08"
,2025-01-07,242.02
0x98db3255ebb8760ef8450330ad6fe91f30573fa0 Total,,"1,543.90"
0x94fd79440abe8d762945ca25dc0e025f424d0c79,2025-09-18,1.74
,2025-09-17,2.51
,2025-09-10,5.97
,2025-08-17,11.86
,2025-08-05,23.64
,2025-08-01,47.22
,2025-07-31,94.40
,2025-07-30,188.76
,2025-07-26,376.67
,2025-07-20,751.79
0x94fd79440abe8d762945ca25dc0e025f424d0c79 Total,,"1,504.55"
0x1593b1a5c5942aa49af1ae1ccf3d7def33a0d011,2026-02-04,"1,497.80"
0x1593b1a5c5942aa49af1ae1ccf3d7def33a0d011 Total,,"1,497.80"
0x005f16f017aa933bb41965b52848ceb8ee48b171,2025-06-04,"1,488.27"
0x005f16f017aa933bb41965b52848ceb8ee48b171 Total,,"1,488.27"
