Date de la liquidation,Liquidateur (Wrapper),Utilisateur liquidé,Collatéral liquidé,Quantité liquidée,Dette remboursée,Token de dette
2024-06-27,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xcac03944ad8b30288a42f67d2229dd0a42e0b12f,RealToken Wrapped USD 01,951.04,864.57,Wrapped XDAI
2024-06-28,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xcac03944ad8b30288a42f67d2229dd0a42e0b12f,RealToken Wrapped USD 01,496.48,451.41,Wrapped XDAI
2024-07-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xcac03944ad8b30288a42f67d2229dd0a42e0b12f,RealToken Wrapped USD 01,271.68,247.00,Wrapped XDAI
2024-07-20,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xcac03944ad8b30288a42f67d2229dd0a42e0b12f,RealToken Wrapped USD 01,136.36,124.00,Wrapped XDAI
2024-08-06,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xcac03944ad8b30288a42f67d2229dd0a42e0b12f,RealToken Wrapped USD 01,67.18,61.00,Wrapped XDAI
2024-08-10,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xcac03944ad8b30288a42f67d2229dd0a42e0b12f,RealToken Wrapped USD 01,35.80,32.54,Wrapped XDAI
2024-08-23,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xcac03944ad8b30288a42f67d2229dd0a42e0b12f,RealToken Wrapped USD 01,17.93,16.30,Wrapped XDAI
2024-11-01,0x10497611ee6524d75fc45e3739f472f83e282ad5,0xcf4ae13784cdfabfdb8fe82e81b7d38b6c5c5b65,RealToken Wrapped USD 01,176.77,160.67,Wrapped XDAI
2024-12-14,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x3b64ded3524f6debe9602535a34922beac3dd2f6,RealToken Wrapped USD 01,124.29,113.00,USD//C on xDai
2024-12-19,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x08d0398c85f342071af7da83702f0306d9fd40d9,RealToken Wrapped USD 01,47.82,43.48,USD//C on xDai
2024-12-23,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x08d0398c85f342071af7da83702f0306d9fd40d9,RealToken Wrapped USD 01,28.80,26.18,USD//C on xDai
2025-01-05,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x3b64ded3524f6debe9602535a34922beac3dd2f6,RealToken Wrapped USD 01,62.85,57.14,USD//C on xDai
2025-01-06,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x5d38d703852e4c9b1010ce9e0145527dc57f4abb,RealToken Wrapped USD 01,204.86,186.24,USD//C on xDai
2025-01-07,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x98db3255ebb8760ef8450330ad6fe91f30573fa0,RealToken Wrapped USD 01,242.02,220.00,Wrapped XDAI
2025-01-08,0x10497611ee6524d75fc45e3739f472f83e282ad5,0x08d0398c85f342071af7da83702f0306d9fd40d9,RealToken Wrapped USD 01,14.47,13.16,USD//C on xDai
